,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
441,0,1,3.4,12,3,2,220,300.0,0
443,0,1,3.9,14,3,0,221,600.0,63
444,0,1,3.7,0,3,2,222,300.0,64
445,0,1,2.8,5,10,13,223,199.0,0
446,0,1,3.3,5,1,28,112,800.0,0
447,0,1,3.5,15,0,2,224,250.0,0
448,0,1,3.4,4,1,0,160,500.0,0
450,0,1,3.6,17,1,2,121,300.0,0
451,0,1,0.0,0,0,2,225,200.0,0
452,0,1,0.0,0,1,2,27,300.0,0
453,0,1,3.3,6,0,2,3,500.0,65
454,0,1,3.4,10,0,2,33,100.0,0
455,0,1,0.0,0,1,2,226,200.0,0
456,0,0,4.1,775,0,0,0,800.0,0
457,0,0,4.2,2022,3,0,221,1000.0,0
459,0,1,0.0,0,4,2,221,150.0,0
460,0,0,4.2,150,0,4,8,600.0,66
461,0,1,4.0,232,1,0,38,750.0,0
462,0,1,3.9,38,1,2,53,200.0,0
463,0,1,0.0,0,0,2,227,300.0,0
464,0,0,3.5,431,3,0,5,800.0,0
465,0,0,4.2,2115,0,0,228,800.0,0
466,0,1,3.4,30,7,2,229,200.0,0
467,0,1,4.2,150,3,0,5,800.0,67
468,0,1,3.3,12,4,2,230,200.0,0
469,0,1,3.8,155,3,0,80,450.0,0
470,0,1,3.7,33,1,2,63,200.0,0
471,0,0,4.1,666,3,28,231,1000.0,0
473,0,1,3.9,240,1,4,10,700.0,0
474,0,1,3.8,918,0,1,2,800.0,0
475,0,1,4.0,465,3,0,80,600.0,68
476,0,0,4.1,970,3,31,232,1500.0,0
477,0,1,3.3,128,0,2,38,300.0,0
478,0,1,3.6,241,4,2,38,300.0,0
479,0,1,3.4,22,0,2,33,200.0,0
480,0,1,4.3,734,0,2,80,200.0,69
481,0,1,3.8,130,3,2,233,400.0,0
482,0,1,4.2,261,3,4,234,700.0,0
483,0,1,4.0,191,4,2,235,300.0,70
484,0,1,4.1,364,1,0,236,550.0,71
485,0,1,0.0,0,4,2,237,500.0,0
486,0,1,3.8,133,0,2,81,300.0,0
487,0,1,3.9,888,0,0,238,750.0,72
488,0,1,3.1,13,0,4,11,400.0,0
489,0,1,3.9,750,1,0,148,500.0,73
490,0,0,4.2,164,0,4,11,500.0,0
491,1,1,0.0,0,1,2,63,200.0,0
492,0,1,3.2,6,0,7,239,200.0,74
493,0,1,3.8,527,1,0,5,500.0,0
494,1,1,4.3,345,0,9,43,400.0,0
